,Datetime,Location,Power,Time,Date
2654,2021-10-15T06:30:00,campus,38.8,06:30:00,2021-10-15
2664,2021-10-15T06:40:00,campus,39.4,06:40:00,2021-10-15
2674,2021-10-15T06:50:00,campus,39.3,06:50:00,2021-10-15
2684,2021-10-15T07:00:00,campus,39.1,07:00:00,2021-10-15
2694,2021-10-15T07:10:00,campus,39.8,07:10:00,2021-10-15
2704,2021-10-15T07:20:00,campus,40.2,07:20:00,2021-10-15
2714,2021-10-15T07:30:00,campus,40.8,07:30:00,2021-10-15
2724,2021-10-15T07:40:00,campus,40.2,07:40:00,2021-10-15
2734,2021-10-15T07:50:00,campus,40.3,07:50:00,2021-10-15
2740,2021-10-15T08:00:00,campus,2388.0,08:00:00,2021-10-15
2750,2021-10-15T08:10:00,campus,2406.0,08:10:00,2021-10-15
2760,2021-10-15T08:20:00,campus,2436.0,08:20:00,2021-10-15
2770,2021-10-15T08:30:00,campus,2502.0,08:30:00,2021-10-15
2780,2021-10-15T08:40:00,campus,2544.0,08:40:00,2021-10-15
2790,2021-10-15T08:50:00,campus,2604.0,08:50:00,2021-10-15
2800,2021-10-15T09:00:00,campus,2664.0,09:00:00,2021-10-15
2810,2021-10-15T09:10:00,campus,2736.0,09:10:00,2021-10-15
2820,2021-10-15T09:20:00,campus,2772.0,09:20:00,2021-10-15
2830,2021-10-15T09:30:00,campus,2796.0,09:30:00,2021-10-15
2840,2021-10-15T09:40:00,campus,2832.0,09:40:00,2021-10-15
2850,2021-10-15T09:50:00,campus,2886.0,09:50:00,2021-10-15
2860,2021-10-15T10:00:00,campus,2946.0,10:00:00,2021-10-15
2870,2021-10-15T10:10:00,campus,2976.0,10:10:00,2021-10-15
2880,2021-10-15T10:20:00,campus,3006.0,10:20:00,2021-10-15
2890,2021-10-15T10:30:00,campus,3006.0,10:30:00,2021-10-15
2900,2021-10-15T10:40:00,campus,3012.0,10:40:00,2021-10-15
2910,2021-10-15T10:50:00,campus,3000.0,10:50:00,2021-10-15
2920,2021-10-15T11:00:00,campus,3048.0,11:00:00,2021-10-15
2930,2021-10-15T11:10:00,campus,3048.0,11:10:00,2021-10-15
2940,2021-10-15T11:20:00,campus,3042.0,11:20:00,2021-10-15
2950,2021-10-15T11:30:00,campus,3018.0,11:30:00,2021-10-15
2960,2021-10-15T11:40:00,campus,3018.0,11:40:00,2021-10-15
2970,2021-10-15T11:50:00,campus,3036.0,11:50:00,2021-10-15
2980,2021-10-15T12:00:00,campus,3030.0,12:00:00,2021-10-15
2990,2021-10-15T12:10:00,campus,3024.0,12:10:00,2021-10-15
3000,2021-10-15T12:20:00,campus,3036.0,12:20:00,2021-10-15
3010,2021-10-15T12:30:00,campus,3054.0,12:30:00,2021-10-15
3020,2021-10-15T12:40:00,campus,3066.0,12:40:00,2021-10-15
3030,2021-10-15T12:50:00,campus,3060.0,12:50:00,2021-10-15
3040,2021-10-15T13:00:00,campus,3036.0,13:00:00,2021-10-15
3050,2021-10-15T13:10:00,campus,3030.0,13:10:00,2021-10-15
3060,2021-10-15T13:20:00,campus,3000.0,13:20:00,2021-10-15
3070,2021-10-15T13:30:00,campus,2988.0,13:30:00,2021-10-15
3080,2021-10-15T13:40:00,campus,2970.0,13:40:00,2021-10-15
3090,2021-10-15T13:50:00,campus,2976.0,13:50:00,2021-10-15
3100,2021-10-15T14:00:00,campus,2976.0,14:00:00,2021-10-15
3110,2021-10-15T14:10:00,campus,2970.0,14:10:00,2021-10-15
3120,2021-10-15T14:20:00,campus,2970.0,14:20:00,2021-10-15
3130,2021-10-15T14:30:00,campus,2988.0,14:30:00,2021-10-15
3140,2021-10-15T14:40:00,campus,2994.0,14:40:00,2021-10-15
3150,2021-10-15T14:50:00,campus,2988.0,14:50:00,2021-10-15
3160,2021-10-15T15:00:00,campus,2976.0,15:00:00,2021-10-15
3170,2021-10-15T15:10:00,campus,2988.0,15:10:00,2021-10-15
3180,2021-10-15T15:20:00,campus,2988.0,15:20:00,2021-10-15
3190,2021-10-15T15:30:00,campus,2988.0,15:30:00,2021-10-15
3200,2021-10-15T15:40:00,campus,2988.0,15:40:00,2021-10-15
3210,2021-10-15T15:50:00,campus,2982.0,15:50:00,2021-10-15
3220,2021-10-15T16:00:00,campus,2982.0,16:00:00,2021-10-15
3230,2021-10-15T16:10:00,campus,2976.0,16:10:00,2021-10-15
3240,2021-10-15T16:20:00,campus,2970.0,16:20:00,2021-10-15
3250,2021-10-15T16:30:00,campus,2952.0,16:30:00,2021-10-15
3260,2021-10-15T16:40:00,campus,2934.0,16:40:00,2021-10-15
3270,2021-10-15T16:50:00,campus,2910.0,16:50:00,2021-10-15
3280,2021-10-15T17:00:00,campus,2922.0,17:00:00,2021-10-15
3290,2021-10-15T17:10:00,campus,2922.0,17:10:00,2021-10-15
3300,2021-10-15T17:20:00,campus,2928.0,17:20:00,2021-10-15
3310,2021-10-15T17:30:00,campus,2898.0,17:30:00,2021-10-15
